OD;Prix d'appel 2nde ;Plein Tarif Loisir 2nde;1ère classe;Commentaires
NIMES-LILLE EUROPE;30.0;144.0;184.0;
MOUTIERS SALINS BRIDES-QUIMPER;30.0;147.0;190.0;
LANDRY-QUIMPER;30.0;147.0;190.0;
TGV HAUTE PICARDIE-AGDE;30.0;150.0;188.0;
TGV HAUTE PICARDIE-SETE;30.0;150.0;188.0;
PARIS GARE DE LYON-TOULON;25.0;121.0;166.0;
PARIS GARE DE LYON-MONTBELIARD;25.0;88.0;119.0;
LIMOGES BENEDICTINS-AEROPORT CDG 2 TGV ROISSY;25.0;88.0;111.0;
CHATEAUROUX-AEROPORT CDG 2 TGV ROISSY;20.0;69.0;86.0;
CHAMBERY CHALLES LES EAUX-MASSY TGV;25.0;103.0;136.0;
MASSY TGV-AIX LES BAINS LE REVARD;25.0;103.0;136.0;
AEROPORT CDG 2 TGV ROISSY-AIX LES BAINS LE REVARD;25.0;103.0;136.0;
NICE VILLE-CHALON SUR SAONE;25.0;116.0;151.0;
BELFORT-MONTBELIARD TGV-LONS LE SAUNIER;15.0;42.0;53.0;
MARSEILLE ST CHARLES-LONS LE SAUNIER;25.0;89.0;119.0;
BESANCON VIOTTE-LILLE EUROPE;20.0;120.0;155.0;
ANGERS ST LAUD-NANCY VILLE;25.0;112.0;148.0;
LE MANS-PARIS MONTPARNASSE 1 ET 2;15.0;60.0;81.0;
LE MANS-MASSY TGV;15.0;60.0;81.0;
AEROPORT CDG 2 TGV ROISSY-ALBERTVILLE;25.0;115.0;154.0;
PARIS NORD-ALBERTVILLE;25.0;115.0;154.0;
MARNE LA VALLEE CHESSY-BOURG ST MAURICE;25.0;118.0;161.0;
ST JEAN DE MAURIENNE ARVAN-MARNE LA VALLEE CHESSY;25.0;111.0;149.0;
MARNE LA VALLEE CHESSY-ST MICHEL VALLOIRE;25.0;113.0;154.0;
MARNE LA VALLEE CHESSY-ANNECY;25.0;104.0;140.0;
MASSY TGV-ANNEMASSE;25.0;108.0;152.0;
MASSY PALAISEAU-VALENCE;25.0;103.0;143.0;
LE TEIL-PARIS GARE DE LYON;25.0;105.0;144.0;
PARIS EST-ST DIE;25.0;86.0;125.0;
MEUSE-LUNEVILLE;;33.0;46.0;
LYON ST EXUPERY-POITIERS;25.0;96.0;135.0;
MACON LOCHE TGV-ORANGE;15.0;51.0;67.0;
MEUSE-REMIREMONT;;46.0;68.0;
AVIGNON TGV-VENTIMIGLIA STAZIONE;20.0;65.0;89.0;
POITIERS-SAVERNE;30.0;137.0;182.0;
ANGOULEME-SAVERNE;30.0;146.0;193.0;
VENDOME VILLIERS SUR LOIR-LYON ST EXUPERY;25.0;95.0;132.0;
LYON ST EXUPERY-BELFORT-MONTBELIARD TGV;15.0;67.0;85.0;
BOURG ST MAURICE-BESANCON FRANCHE-COMTE TGV;20.0;78.0;97.0;
AVIGNON-RENNES;;142.0;180.0;
AVIGNON-BELFORT-MONTBELIARD TGV;;108.0;142.0;
BESANCON VIOTTE-AVIGNON;;91.0;120.0;
AVIGNON-LONS LE SAUNIER;;75.0;96.0;
CAGNES SUR MER-NICE VILLE;;3.9;7.8;
QUIMPERLE-LORIENT;;6.3;9.5;
BOULOGNE VILLE-ETAPLES LE TOUQUET;;8.0;11.9;
BORDEAUX ST JEAN-LIBOURNE;;10.2;14.7;
STRASBOURG-SELESTAT;;10.7;17.0;
CLUSES  74-ANNEMASSE;;11.0;16.0;
LUNEVILLE-SARREBOURG;;11.4;17.5;
GROISY THORENS LA CAILLE-CLUSES  74;;11.9;17.5;
BORDEAUX ST JEAN-LA TESTE;;13.2;19.5;
TOURS-BLOIS;;13.5;19.5;
ST ETIENNE CHATEAUCREUX-LYON PART DIEU;;13.7;20.0;
LYON PERRACHE-MACON LOCHE TGV;;18.5;26.0;
NIMES-AGDE;;20.5;31.0;
CLUSES  74-AIX LES BAINS LE REVARD;;21.5;32.0;
LILLE FLANDRES-TGV HAUTE PICARDIE;;22.5;33.0;
MOUTIERS SALINS BRIDES-AIX LES BAINS LE REVARD;;24.0;36.0;
AVIGNON-MARSEILLE BLANCARDE;;24.5;37.0;
CHAMBERY CHALLES LES EAUX-AIME LA PLAGNE;;25.0;38.0;
BESANCON VIOTTE-BOURG EN BRESSE;;26.5;41.0;
LANDRY-BOURG EN BRESSE;;28.5;38.0;
LANDRY-AIX LES BAINS LE REVARD;;30.0;43.0;
FACTURE BIGANOS-BAYONNE;;31.0;44.0;
LYON ST EXUPERY-ANNEMASSE;;33.0;47.0;
CARCASSONNE-NIMES;;36.0;53.0;
SABLE-LA ROCHE SUR YON;;38.0;53.0;
BOURG EN BRESSE-SALLANCHES COMBLOUX MEGEVE;;38.0;53.0;
SURGERES-ST PIERRE DES CORPS;;38.0;54.0;
BREAUTE BEUZEVILLE-MASSY PALAISEAU;;38.0;54.0;
RANG DU FLIERS VERTON-LILLE EUROPE;;39.0;58.0;
COLMAR-MOUCHARD;;44.0;64.0;
AGEN-ANGOULEME;;45.0;65.0;
BORDEAUX ST JEAN-LOURDES;15.0;45.0;65.0;
ST PERAY-AGDE;15.0;45.0;66.0;
POITIERS-MARMANDE;;58.0;84.0;
BRIVE LA GAILLARDE-LES AUBRAIS ORLEANS;20.0;57.0;86.0;
IRUN-POITIERS;;69.0;101.0;
HENDAYE-FUTUROSCOPE;;70.0;102.0;
ST PIERRE DES CORPS-TARBES;25.0;84.0;122.0;
AIX EN PROVENCE TGV-VENTIMIGLIA STAZIONE;;46.0;69.0;
ST AVRE LA CHAMBRE-MACON LOCHE TGV;;40.0;61.0;
AVIGNON-AGDE;;27.5;42.0;
NIMES-MARNE LA VALLEE CHESSY;25.0;114.0;160.0;
MASSY TGV-LYON ST EXUPERY;25.0;97.0;133.0;
METZ VILLE-LYON ST EXUPERY;20.0;88.0;112.0;
METZ VILLE-LYON PERRACHE;20.0;88.0;112.0;
CULMONT CHALINDREY-cannes;25.0;124.0;161.0;
NEUFCHATEAU-toulouse matabiau;25.0;113.0;146.0;
CULMONT CHALINDREY-NIMES;25.0;80.0;111.0;
paris austerlitz-Surgeres;25.0;89.0;123.0;
PARIS MONTPARNASSE 1 ET 2-FUTUROSCOPE;20.0;75.0;107.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LORIENT-DOUAI;25.0;114.0;150.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AGEN-PARIS MONTPARNASSE 1 ET 2;25.0;108.0;140.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-LE POULIGUEN;25.0;87.0;126.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
MASSY TGV-SURGERES;25.0;89.0;123.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
FUTUROSCOPE-ST PIERRE DES CORPS;;20.0;28.5;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-VANNES;;36.0;51.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LAVAL-AURAY;;38.0;54.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LE MANS-REDON;;40.0;58.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BORDEAUX ST JEAN-VENDOME VILLIERS SUR LOIR;;69.0;101.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
LA TESTE-POITIERS;;49.0;73.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
BREST-PARIS MONTPARNASSE 1 ET 2;20.0;92.0;131.0;Tarifs applicables aux circulations jusqu'au 1er juillet 2017
AEROPORT CDG2 TGV ROISSY - LIBOURNE;20.0;99.0;133.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LILLE EUROPE - LORIENT;25.0;122.0;161.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
VANNES - DOUAI;25.0;116.0;153.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
DOUAI - AURAY;25.0;116.0;153.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGOULEME - MASSY TGV;20.0;96.0;133.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD - PARIS MONTPARNASSE 1 ET 2;20.0;75.0;107.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LA ROCHELLE VILLE - PARIS MONTPARNASSE 1 ET 2;25.0;94.0;130.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
PARIS MONTPARNASSE 1 ET 2 - TOULOUSE MATABIAU;25.0;121.0;173.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD - MASSY TGV;20.0;75.0;107.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MASSY TGV - LE CROISIC;25.0;88.0;128.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
JUVISY TGV-MARNE LA VALLEE CHESSY;;35.0;47.0;
AVIGNON TGV-MARSEILLE ST CHARLES;;30.0;44.0;
JUVISY TGV-AEROPORT CDG 2 TGV ROISSY;;35.0;47.0;
LE HAVRE-CONFLANS FIN D'OISE;;40.0;47.0;
METZ VILLE-CHAMPAGNE ARDENNE;;46.0;67.0;
VALENCE TGV-LE CREUSOT MONTCEAU MONTCHANIN;15.0;48.0;63.0;
AIX EN PROVENCE TGV-NARBONNE;;49.0;64.0;
TOURCOING-PARIS NORD;15.0;63.0;82.0;
CHERBOURG-MANTES LA J. TGV;;60.0;72.0;
DIJON VILLE-VALENCE;15.0;57.0;76.0;
AVIGNON-LE CREUSOT MONTCEAU MONTCHANIN;;61.0;77.0;
AVIGNON TGV-NICE VILLE;20.0;62.0;88.0;
LYON ST EXUPERY-TOULON;20.0;72.0;101.0;
LILLE FLANDRES-LES AUBRAIS ORLEANS;25.0;88.0;111.0;
LYON ST EXUPERY-ST RAPHAEL VALESCURE;25.0;86.0;121.0;
BESANCON VIOTTE-LISIEUX;25.0;97.0;125.0;
LILLE FLANDRES-TOURS;;101.0;134.0;
ST MAIXENT DEUX SEVRES-TGV HAUTE PICARDIE;25.0;106.0;139.0;
LILLE FLANDRES-FUTUROSCOPE;25.0;109.0;143.0;
FONTAINEBLEAU AVON-AIX EN PROVENCE TGV;25.0;105.0;148.0;
NIORT-ARRAS;25.0;118.0;149.0;
LAMBALLE-ARRAS;25.0;119.0;153.0;
ST BRIEUC-TGV HAUTE PICARDIE;25.0;120.0;158.0;
CAEN-AIME LA PLAGNE;25.0;125.0;165.0;
LISON-ALBERTVILLE;25.0;125.0;165.0;
CARENTAN-BOURG ST MAURICE;25.0;125.0;165.0;
EVREUX EMBRANCHEMENT-LANDRY;25.0;125.0;165.0;
TOURS-AIX EN PROVENCE TGV;25.0;125.0;167.0;
LILLE EUROPE-ST GERVAIS LES BAINS LE FAYET;25.0;127.0;167.0;
AIME LA PLAGNE-DOUAI;25.0;127.0;167.0;
DOUAI-ST MICHEL VALLOIRE;;127.0;167.0;
ARRAS-SALLANCHES COMBLOUX MEGEVE;;127.0;167.0;
DUNKERQUE-MODANE;25.0;127.0;167.0;
DUNKERQUE-ANNECY;25.0;127.0;167.0;
LILLE EUROPE-LA ROCHE SUR FORON;;127.0;167.0;
LA ROCHE SUR FORON-NANTES;25.0;127.0;167.0;
LE HAVRE-MARSEILLE ST CHARLES;25.0;129.0;177.0;
RENNES-VALENCE;25.0;132.0;160.0;
BOURG ST MAURICE-RENNES;25.0;132.0;170.0;
LANDRY-RENNES;25.0;132.0;170.0;
AIME LA PLAGNE-VANNES;30.0;137.0;179.0;
MOUTIERS SALINS BRIDES-AURAY;30.0;137.0;179.0;
LA ROCHE SUR FORON-REDON;30.0;137.0;179.0;
LORIENT-ANNECY;30.0;137.0;179.0;
CHATELLERAULT - ST PIERRE DES CORPS;;16.0;23.5;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - AURAY;;55.0;82.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
LE MANS - QUIMPERLE;;61.0;90.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MARNE LA VALLEE CHESSY - LANDERNEAU;20.0;100.0;142.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
MARNE LA VALLEE CHESSY - ROSPORDEN;20.0;103.0;147.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
TOURS - CHATELLERAULT;;16.0;23.5;Tarifs applicables aux circulations à partir du 2 juillet 2017
ANGERS ST LAUD - LYON SAINT EXUPERY TGV;25.0;96.0;135.0;Tarifs applicables aux circulations à partir du 2 juillet 2017
ARRAS-DOUAI;;7.8;11.4;
HENDAYE-BIARRITZ;;8.0;11.9;
BAYEUX-LISON;;8.4;17.0;
METZ VILLE-THIONVILLE;;8.5;13.0;
GUINGAMP-ST BRIEUC;;9.1;13.5;
NURIEUX-BELLEGARDE;;9.3;13.7;
PLOUARET TREGOR-ST BRIEUC;;13.5;20.5;
CASTELNAUDARY-TOULOUSE MATABIAU;;13.7;20.5;
DAX-BIARRITZ;;14.2;20.5;
ARLES-ORANGE;;14.3;21.0;
GROISY THORENS LA CAILLE-SALLANCHES COMBLOUX MEGEVE;;15.5;22.0;
NARBONNE-SETE;;16.5;24.0;
MANTES LA J. TGV-ROUEN RIVE DROITE;;18.5;26.5;
PAU-MORCENX;;19.0;27.0;
DAX-PAU;;19.0;27.0;
MARSEILLE ST CHARLES-HYERES;;19.0;27.0;
TOURCOING-ARRAS;;19.0;35.0;
BREST-PLOUARET TREGOR;;20.0;28.5;
VALENCE-ORANGE;;20.5;30.0;
LES SABLES D'OLONNE-NANTES;;22.0;34.0;
BESANCON VIOTTE-BELFORT;;23.0;35.0;
ANCENIS-LA ROCHE SUR YON;;23.0;35.0;
DIJON VILLE-FRASNE;;24.5;36.0;
ST PERAY-VILLENEUVE LES AVIGNONS;;25.0;38.0;
NIMES-MONTELIMAR;;26.0;38.0;
SAUMUR-VENDOME VILLIERS SUR LOIR;;27.0;40.0;
NANTES-AURAY;;30.0;43.0;
AIX EN PROVENCE TGV-LES ARCS DRAGUIGNAN;;30.0;44.0;
CASTELNAUDARY-MONTPELLIER;;34.0;50.0;
VERSAILLES CHANTIERS-YVETOT;;35.0;50.0;
LIMOGES BENEDICTINS-VIERZON VILLE;15.0;36.0;53.0;
ANGERS ST LAUD-VANNES;;39.0;55.0;
HENDAYE-LIBOURNE;;45.0;65.0;
ANGERS ST LAUD-LORIENT;;45.0;66.0;
LE MANS-LE CROISIC;;45.0;66.0;
LYON PART DIEU-BOURG ST MAURICE;;46.0;67.0;
QUIMPER-VITRE;;46.0;68.0;
HENDAYE-POITIERS;;69.0;101.0;
ST PIERRE DES CORPS-TOULOUSE MATABIAU;25.0;80.0;116.0;
VENDOME-MASSY TGV;;39.0;76.0;
VENDOME-LIBOURNE;;66.0;98.0;
CULOZ-TOULON;;98.0;143.0;
MARNE LA VALLEE CHESSY-MONTPELLIER;25.0;114.0;160.0;
MASSY TGV-MARSEILLE ST CHARLES;25.0;116.0;162.0;
VERSAILLES CHANTIERS-MARSEILLE ST CHARLES;25.0;116.0;162.0;
AVIGNON-MARNE LA VALLEE CHESSY;25.0;116.0;162.0;
LYON PART DIEU-PARIS GARE DE LYON;25.0;97.0;133.0;
BESANCON VIOTTE-MANTES LA JOLIE;20.0;83.0;111.0;
MULHOUSE VILLE-PARIS GARE DE LYON;20.0;114.0;155.0;
ROUEN RIVE DROITE-YVETOT;;10.5;14.8;
LE HAVRE-MEUSE;15.0;60.0;77.0;
CHAMPAGNE ARDENNE-ROUEN RIVE DROITE;15.0;53.0;70.0;
MULHOUSE VILLE-AVIGNON TGV;20.0;114.0;149.0;
METZ VILLE-MONTPELLIER;20.0;124.0;161.0;
STRASBOURG-LYON ST EXUPERY;20.0;87.0;111.0;
Toul-carcassonne;25.0;110.0;142.0;
NEUFCHATEAU-Agde;25.0;99.0;129.0;
NEUFCHATEAU-carcassonne;25.0;106.0;137.0;
ST AVRE - LA CHAMBRE-VERSAILLES CHANTIERS;25.0;109.0;144.0;
ST JEAN DE MAURIENNE ARVAN-VERSAILLES CHANTIERS;25.0;111.0;149.0;
